Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2017-12-07,Wk 23,Forwards,Tighthead Prop,1202a,3899.02832,733.84,61.16,0.8343812709030101
2017-12-09,Wk 23,Forwards,Tighthead Prop,1202a,4879.89599,1285.76998,21.03,0.7356521739130435
2017-12-15,Wk 24,Forwards,Tighthead Prop,1202a,1714.49408,595.54,5.04,0.7260200668896322
2017-12-18,Wk 25,Forwards,Tighthead Prop,1202a,5205.2665799999995,1165.8799999999999,316.66001000000006,0.9403344481605351
2017-12-19,Wk 25,Forwards,Tighthead Prop,1202a,3180.8823,555.59,12.51,0.7850167224080267
2017-12-21,Wk 25,Forwards,Tighthead Prop,1202a,1661.0681,349.23,3.98,0.7224080267558528
2017-12-22,Wk 25,Forwards,Tighthead Prop,1202a,6051.4675800000005,1445.87999,4,0.7007357859531773
2017-12-26,Wk 26,Forwards,Tighthead Prop,1202a,4983.71363,1438.83001,56.36,0.8536454849498328
2017-12-27,Wk 26,Forwards,Tighthead Prop,1202a,1062.42712,62.5,0,0.5297658862876254
2017-12-29,Wk 26,Forwards,Tighthead Prop,1202a,1487.90718,357.7,0,0.645351170568562
2018-01-02,Wk 27,Forwards,Tighthead Prop,1202a,2853.19329,325.09000000000003,0,0.5971906354515051
2018-01-04,Wk 27,Forwards,Tighthead Prop,1202a,1450.1418,298.12,5.24,0.7573244147157191
2018-01-05,Wk 27,Forwards,Tighthead Prop,1202a,4336.47034,879.80002,18.35,0.8705016722408028
2018-01-10,Wk 28,Forwards,Tighthead Prop,1202a,805.66705,131.41,0,0.6850836120401338
2018-01-12,Wk 28,Forwards,Tighthead Prop,1202a,1603.38513,517.05,56.81999999999999,0.8379933110367893
2018-01-15,WK 29,Forwards,Tighthead Prop,1202a,2152.05174,602.1099999999999,45.730000000000004,0.8608695652173913
2018-01-16,WK 29,Forwards,Tighthead Prop,1202a,2510.09755,432.86000000000007,9.79,0.7236120401337792
2018-01-18,WK 29,Forwards,Tighthead Prop,1202a,3825.308,895.5,137.57,0.842809364548495
2018-01-20,WK 29,Forwards,Tighthead Prop,1202a,1287.87554,155.35,0,0.5213377926421405
2018-01-22,Wk 30,Forwards,Tighthead Prop,1202a,4499.33463,1291.2700100000002,12.1,0.7488963210702341
2018-01-23,Wk 30,Forwards,Tighthead Prop,1202a,2597.92904,506.62,2.67,0.7127759197324415
2018-01-25,Wk 30,Forwards,Tighthead Prop,1202a,4288.1593,872.03,16.23,0.7476923076923077
2018-01-29,Wk 31,Forwards,Tighthead Prop,1202a,3427.8519,773.9399999999999,0,0.6947157190635451
2018-01-30,Wk 31,Forwards,Tighthead Prop,1202a,2050.27112,363.96999999999997,0,0.6874916387959866
2018-02-01,Wk 31,Forwards,Tighthead Prop,1202a,2402.07266,502.59000000000003,23.52,0.8090969899665552
2018-02-02,Wk 31,Forwards,Tighthead Prop,1202a,1429.57495,221.79,26.75,0.8452173913043478
2018-02-05,Wk 32,Forwards,Tighthead Prop,1202a,3152.33945,750.46,8.03,0.7175919732441471
2018-02-06,Wk 32,Forwards,Tighthead Prop,1202a,2660.6403999999998,296.95,16.08,0.7669565217391304
2018-02-10,Wk 32,Forwards,Tighthead Prop,1202a,2281.32681,400.81,6.96,0.7200000000000001
